[2024-07-25 21:36:19,085: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 21:36:19,088: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 21:36:19,089: INFO: common: created directory at: artifacts]
[2024-07-25 21:36:19,091: INFO: common: created directory at: artifacts\training]
[2024-07-25 21:38:11,793: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 21:38:11,796: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 21:38:11,798: INFO: common: created directory at: artifacts]
[2024-07-25 21:38:11,801: INFO: common: created directory at: artifacts\training]
[2024-07-25 21:42:57,180: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 21:42:57,183: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 21:42:57,184: INFO: common: created directory at: artifacts]
[2024-07-25 21:42:57,186: INFO: common: created directory at: artifacts\training]
[2024-07-25 21:43:53,609: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-07-25 21:43:53,626: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 21:43:53,629: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 21:43:53,629: INFO: common: created directory at: artifacts]
[2024-07-25 21:43:53,630: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-25 21:43:53,631: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1YuhJqIpbJprb7PZJ6AdRdY7ZbJEpUXL3/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-25 21:49:54,036: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1YuhJqIpbJprb7PZJ6AdRdY7ZbJEpUXL3/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-25 21:50:55,404: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-07-25 21:50:55,423: INFO: main: *******************]
[2024-07-25 21:50:55,424: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-07-25 21:50:55,427: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 21:50:55,430: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 21:50:55,430: INFO: common: created directory at: artifacts]
[2024-07-25 21:50:55,431: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-25 21:51:01,108: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-07-25 21:51:02,240: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-07-25 21:59:24,054: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 21:59:24,057: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 21:59:24,059: INFO: common: created directory at: artifacts]
[2024-07-25 21:59:24,060: INFO: common: created directory at: artifacts\training]
[2024-07-25 22:03:30,520: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 22:03:30,523: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 22:03:30,525: INFO: common: created directory at: artifacts]
[2024-07-25 22:03:30,527: INFO: common: created directory at: artifacts\training]
[2024-07-25 22:59:53,150: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-07-25 22:59:53,203: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 22:59:53,215: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 22:59:53,216: INFO: common: created directory at: artifacts]
[2024-07-25 22:59:53,261: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-25 22:59:53,261: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1YuhJqIpbJprb7PZJ6AdRdY7ZbJEpUXL3/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-25 23:05:56,301: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1YuhJqIpbJprb7PZJ6AdRdY7ZbJEpUXL3/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-25 23:06:51,328: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-07-25 23:06:51,329: INFO: main: *******************]
[2024-07-25 23:06:51,329: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-07-25 23:06:51,332: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 23:06:51,334: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 23:06:51,335: INFO: common: created directory at: artifacts]
[2024-07-25 23:06:51,336: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-25 23:06:57,306: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-07-25 23:06:57,697: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-07-25 23:06:57,698: INFO: main: *******************]
[2024-07-25 23:06:57,699: INFO: main: >>>>>> stage Training started <<<<<<]
[2024-07-25 23:06:57,701: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 23:06:57,703: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 23:06:57,704: INFO: common: created directory at: artifacts]
[2024-07-25 23:06:57,705: INFO: common: created directory at: artifacts\training]
